title,company_name,experience,skills
AI Automation engineer,Bluegeko,2,"Python, PostgreSQL, Docker, Marketing, AWS, Engineering, Backend development, Google Cloud Platform, Marketing automation, Playwright, AI integration"
"Python, Computer Vision Developer",STL,1,"Java, Git, GitHub, Python, C++, Docker, Machine learning, OpenCV, PyTorch, Computer vision"
"Спеціаліст з дослідження даних, Data scientist у Глобине","Глобино, ГК",0,"SQL, Python, Oracle Database, Oracle SQL Developer, PL/SQL, Machine learning"
"Інженер-програміст БПЛА, військовослужбовець",9 бригада безпілотних систем,1,"Java, Python, C++"
Python-розробник,"Костенко Д.Р., ФОП",0,"CSS, JavaScript, HTML, MySQL, SQL, Git, Python, PostgreSQL, Telegram API, Docker, Django, Django Rest Framework, REST API, REST, Redis, Flask, FastAPI"
"Senior Go, Python engineer for self-healing Android device infrastructure",TPE,5,"Python, IP (Internet Protocol), MS Access, Android Debug Bridge, Next.js, Playwright, QA Automation"
"AI, ML Engineer","Ахіллес (СБС), 429 ОБ БпС",2,"Python, Docker, TensorFlow, Machine learning, CI/CD, PyTorch, Prompt, LangChain, Rag"
Computer Vision Researcher (copters),Frontline Robotics,2,
Python-програміст,"Танграм, група компаній",2,"CSS, JavaScript, HTML, PHP, MySQL, SQL, Git, Python, React, MongoDB, Node.js, Django, Flask, FastAPI, Machine learning"
"Middle Python-розробник (Odoo, ERP)","Перший, ломбард, ПТ",2,"JavaScript, SQL, Git, Python, PostgreSQL, XML, JSON, REST API, REST, ORM, Odoo"
Python Software Engineer,Synthetic,1,
"Викладач програмування в ІТ-школу (Python, Scratch)","Logika, школа програмування та англійської мови для дiтей",0,"Python, Scratch"
Спеціаліст з автоматизації бізнес-процесів,"Агропродсервіс, ПАП",2,Python
Python Developer (Odoo),Товариство Червоного Хреста України,2,"CSS, JavaScript, HTML, Git, Python, PostgreSQL, Docker, REST API, Kubernetes, Odoo, CI/CD, gRPC"
Python developer,Noxon,1,"Python, Node.js, Grafana, Prometheus, SOLID Principles, Blockchain, EVM"
"Програміст Odoo (Python, ERP)",Аттал,1,"SQL, Python, PostgreSQL, Odoo"
Розробник Odoo,"Ейрлоджикс, ТОВ",2,"Odoo, Python, SQL, Jira, Slack, Confluence"
Інженер-програміст БПЛА,"SkyFall, Батарея зенітних БпАК (Військова частина 3027 НГУ)",5,"Python, C++, ArduPilot, Betaflight"
Інженер-програміст БПЛА,"Буревій, 1 Президентська бригада оперативного призначення НГУ",1,"Python, C++, ArduPilot, Betaflight, YOLO, Raspberry Pi, QGroundControl, Mission Planner, Ubuntu"
Odoo Developer,Генерал Черешня,2,
Embedded-розробник,Lira,2,"Git, Python, C++, MikroTik, VLAN, C/C++"
